"﻿""Nombre Cóctel""",Puntuación Diffords,Cristalería (Glass),Ingredientes Originales,Adorno (Garnish),Método (How to make),Coste Estimado,Calorías,Grado Alcohólico (ABV),Historia / Curiosidades,Enlace Original
Champino,Difford’s Guide Discerning Drinkers (21 ratings),Serve in a Flute glass,"- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 30 ml Strucchi Rosso Vermouth
- 60 ml Brut champagne/sparkling wine",EXPRESS orange zest twist over the cocktail and use as garnish.,"SHAKE first 2 ingredients with ice.
FINE STRAIN into chilled glass.
TOP with sparkling wine.",No especificado,156 kcal,No especificado,Sin registro histórico,https://www.diffordsguide.com/cocktails/recipe/2335/champino
Winter Americano,Difford’s Guide Discerning Drinkers (2 ratings),Photographed in an Urban Bar Fluet Highball 45cl,"- 40 ml Strucchi Red Bitter (Campari-style liqueur)
- 40 ml Strucchi Rosso Vermouth
- 90 ml Mandarin soda",Sin adorno específico,"Select and pre-chill a COLLINS GLASS.
Prepare garnish of lemon and orange zest twist.
POUR all ingredients into glass.
FILL glass with ice.",No especificado,201 kcal,No especificado,Adapted from a recipe promoted by Three Cents in 2024.,https://www.diffordsguide.com/cocktails/recipe/30036/winter-americano
Americano Perfecto,Difford’s Guide Discerning Drinkers (14 ratings),Photographed in a Modern America Collins,"- 45 ml Strucchi Red Bitter (Campari-style liqueur)
- 22.5 ml Strucchi Rosso Vermouth
- 22.5 ml Carpano Antica Formula Vermouth
- 120 ml Pilsner lager",Garnish with orange slice.,"STIR first 3 ingredients with ice.
STRAIN into ice-filled glass.
TOP with beer and briefly stir",No especificado,227 kcal,No especificado,"Adapted from a recipe created by Damon Boelte at Prime Meats in Brooklyn, New York City.",https://www.diffordsguide.com/cocktails/recipe/20322/americano-perfecto
Summer Americano,Difford’s Guide Discerning Drinkers (14 ratings),Serve in a Highball (max 10oz/300ml),"- 30 ml Rubino/Rosso/Rojo (sweet, fruity) vermouth
- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 5 ml Gentian liqueur (e.g. Suze, Salers etc)
- 3 drop Bob's Cardamom bitters
- 30 ml Thomas Henry Tonic Water",Garnish with lemon slice.,"STIR first 4 ingredients with ice.
STRAIN into ice-filled glass whilst also pouring tonic water.",No especificado,133 kcal,No especificado,"Created in May 2015 by Ignacio ""Nacho"" Vázquez, the Spanish Martini Brand Ambassador. Naturally Nacho originally used Martini Bitter.",https://www.diffordsguide.com/cocktails/recipe/3966/summer-americano
A Lucky Roman Americano,Difford’s Guide Discerning Drinkers (5 ratings),Serve in an Old-fashioned glass,"- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 30 ml Strucchi Rosso Vermouth
- 30 ml Cynar or other carciofo amaro
- 2 dash Bob's Peppermint Bitters
- Top up with *Special ingredient #1 (see above)",Sin adorno específico,THROW first 4 ingredients with ice and strain into ice-filled glass. Top with rosemary soda. <strong>Special ingredient #1: Rosemary soda</strong>,No especificado,165 kcal,No especificado,Created in 2017 by Luana Bosello in Italy.,https://www.diffordsguide.com/cocktails/recipe/4061/a-lucky-roman-americano
L'Americano Moderno,Difford’s Guide Discerning Drinkers (2 ratings),Serve in an Old-fashioned glass,"- 60 ml Savoia Americano Rosso
- 4 dash Orange Bitters by Angostura
- 40 ml Elderberry & hibiscus soda",Sin adorno específico,"Select and pre-chill an OLD-FASHIONED GLASS.
Prepare garnish of edible flower or orange slice.
POUR all ingredients into ice-filled glass.
Briefly STIR.",No especificado,207 kcal,No especificado,"Adapted from a recipe created in December 2021 by Lorenzo Politano at Aleph Rome Hotel in Rome, Italy.",https://www.diffordsguide.com/cocktails/recipe/11082/lamericano-moderno
D&B Shakerato,Difford’s Guide Discerning Drinkers (8 ratings),Photographed in a ZigZag Coupe,"- 50 ml Savoia Americano Rosso
- 20 ml Pink grapefruit juice (freshly squeezed)
- 10 ml Honey syrup (3 parts honey to 1 water by weight)
- 2 drop Saline solution (20g sea salt to 80g water) or merest pinch of s",EXPRESS grapefruit zest twist over cocktail and use as garnish.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,138 kcal,No especificado,"Adapted from a recipe created in 2021 by Matteo Carretta at Claridge's Hotel in London, England. Matteo's original recipe calls for 10ml acacia honey and xanthan gum syrup in place of the honey syrup I've used.",https://www.diffordsguide.com/cocktails/recipe/10623/dandb-shakerato
Less is More Negroni,Difford’s Guide Discerning Drinkers (21 ratings),Serve in an Old-fashioned glass,"- 50 ml Savoia Americano Rosso
- 25 ml Hayman's London Dry Gin",Garnish with orange slice.,"POUR all ingredients into ice-filled glass.
Briefly STIR.",No especificado,No especificadas,No especificado,"Giuseppe Gallo, the creator of Savoia Americano.",https://www.diffordsguide.com/cocktails/recipe/11084/less-is-more-negroni
Casa Savoia Garibaldi,Difford’s Guide Discerning Drinkers (8 ratings),Serve in a Highball (max 10oz/300ml),"- 50 ml Savoia Americano Rosso
- 90 ml Orange juice (freshly squeezed)",Garnish with orange wedge rested across rim.,"Squeeze orange juice using pillar or elbow press and fine strain to remove any flesh.
DRY BLEND the freshly squeezed juice at high speed (without ice) to make ""fluffy"".
POUR rosso americano/quinquina and half of the orange juice into glass over 2 cubes of ice and STIR.
Fill glass with more ice (3 cubes) and fill with rest of fluffy orange juice.",No especificado,146 kcal,No especificado,"Adapted from a recipe created in 2019 by Giuseppe Gallo, the creator of Savoia Americano.",https://www.diffordsguide.com/cocktails/recipe/11086/casa-savoia-garibaldi
Casa Savoia Boulevardier,Difford’s Guide Discerning Drinkers (23 ratings),Serve in an Old-fashioned glass,"- 50 ml Savoia Americano Rosso
- 25 ml Bourbon whiskey",Sin adorno específico,POUR all ingredients into ice-filled glass (preferably over a large cube or junk of block ice).,No especificado,No especificadas,No especificado,"Adapted from a recipe created in 2019 by Giuseppe Gallo, the creator of Savoia Americano.",https://www.diffordsguide.com/cocktails/recipe/11090/casa-savoia-boulevardier
Difford's Fruit Cup No.1 (gin based & Pimm's Cup-like),Difford’s Guide Discerning Drinkers (119 ratings),Serve in a Collins glass,"- 25 ml Hayman's London Dry Gin
- 25 ml Ferrand Dry Curaçao
- 25 ml Strucchi Rosso Vermouth
- 2 dash Angostura Aromatic Bitters
- 50 ml Thomas Henry Ginger Ale
- 50 ml Cola (e.g. Coca-Cola or Pepsi)",Finish with rest of garnish.,"POUR all ingredients into glass.
Half fill glass with ice.
Add a citrus slice and a couple of mint leaves from garnish
Fill to brim with ice.",No especificado,213 kcal,No especificado,Created in 2011 by yours truly in an attempt to improve on a Pimm's Cup. For more recipes and history see Fruit Cups and Pimm's.,https://www.diffordsguide.com/cocktails/recipe/2169/diffords-fruit-cup-no1-gin-based-and-pimms-cup-like
Meditation,Difford’s Guide Discerning Drinkers (27 ratings),Serve in a Coupe glass,"- 60 ml Lustau Amontillado Los Arcos Sherry
- 22.5 ml Strucchi Rosso Vermouth
- 5 ml Green Chartreuse (or alternative herbal liqueur)
- 5 ml Fernet Branca liqueur
- 5 ml Grenadine/pomegranate syrup",EXPRESS orange zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,142 kcal,No especificado,Adapted from a recipe in Charles Christopher Mueller's 1934 Pioneers of Mixing at Elite Bars.,https://www.diffordsguide.com/cocktails/recipe/25029/meditation
Bobby Burns (Difford's own),Difford’s Guide Discerning Drinkers (314 ratings),Serve in a Nick & Nora glass,"- 37.5 ml Blended Scotch whisky
- 30 ml Strucchi Rosso Vermouth
- 10 ml Bénédictine D.O.M. liqueur
- 2 dash Peychaud's or other Creole-style bitters
- 1 dash La Fée Parisienne absinthe","EXPRESS lemon zest twist over the cocktail and discard.
Garnish with a slice of shortbread rested across the rim.","STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,163 kcal,No especificado,Recipe by yours truly in January 2017. See Bobby Burns cocktail history.,https://www.diffordsguide.com/cocktails/recipe/4109/bobby-burns-diffords-own
The Addington,Difford’s Guide Discerning Drinkers (59 ratings),Serve in a Coupe glass,"- 45 ml Cognac (brandy)
- 22.5 ml Strucchi Rosso Vermouth
- 10 ml Bénédictine D.O.M. liqueur
- 1 dash Boker's style bitters",EXPRESS lemon zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,169 kcal,No especificado,"Created in 2015 by Guy Butler at Muddlers in Sydenham, London, England.",https://www.diffordsguide.com/cocktails/recipe/3755/the-addington
Tequila Fruit Cup (Difford's Cup No.7),Difford’s Guide Discerning Drinkers (12 ratings),Serve in a Collins glass,"- 25 ml Patrón Reposado tequila
- 25 ml Ferrand Dry Curaçao
- 25 ml Strucchi Rosso Vermouth
- 2 dash Bob's Lavender Bitters
- 50 ml Thomas Henry Ginger Ale
- 50 ml Cola (e.g. Coca-Cola or Pepsi)",Finish with rest of garnish.,"POUR all ingredients into glass.
Half fill glass with ice.
Add a citrus slice and a couple of mint leaves from garnish
Fill to brim with ice.",No especificado,213 kcal,No especificado,"Created in June 2017 by yours truly at the Cabinet Room, London, England. For more recipes and history see Fruit Cups and Pimm's.",https://www.diffordsguide.com/cocktails/recipe/4210/tequila-fruit-cup-diffords-cup-no7
La Familia,Discerning Drinkers (3 ratings),Serve in a Coupe glass,"- 45 ml Light white rum (charcoal-filtered 1-4 years old)
- 30 ml Lustau Amontillado Los Arcos Sherry
- 30 ml Orange juice (freshly squeezed)
- 2 barspoon Strucchi Rosso Vermouth",Garnish with chocolate and popcorn.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,No especificadas,No especificado,Mexican Bacardí Legacy 2015 winning cocktail by Alberto Riesler at Grupo Fisher's in Mexico City.,https://www.diffordsguide.com/cocktails/recipe/3980/la-familia
